cep,logradouro,bairro
02969010,Rua Professor Octávio de Carvalho,Jardim São José (Zona Norte)
04368006,Rua Doutor Djalma Pinheiro Franco,Vila Santa Catarina
04726040,Rua César Ladeira,Vila Cruzeiro
04410140,Rua Liberalina,Americanópolis
05875300,Rua João de Almada,Parque Independência
04851030,Estrada Canal de Cocaia,Jardim Edi
05136270,Rua Armando Flamarion Coelho,Jardim Santo Elias
02759030,Rua General Ulhoa Cintra,Vila Bancária Munhoz
08131030,Rua José Mário Donizetti Baroni,Itaim Paulista
03603010,Rua Capitão Avelino Carneiro,Penha de França
08253210,Rua Isabel Urbina,Conjunto Residencial José Bonifácio
01330040,Rua Doutor Lourenço Granato,Bela Vista
03641020,Rua Benedito Cesário,Penha de França
04417150,Rua Maria Conceição Morale Miragaia,Jardim Miriam
03238020,Rua São Caio,Parque São Lucas
05651002,Avenida Giovanni Gronchi,Morumbi
04054010,Rua Doutor Samuel Porto,Saúde
03243050,Rua Francisco Varnhagen,Cidade Continental
02610110,Rua Duplo Ceu,Vila dos Andrades
03067050,Praça Pádua Dias,Tatuapé
01424003,Alameda Lorena,Jardim Paulista
01331040,Rua Santa Branca,Bela Vista
03816000,Rua Antônio Leite Penteado,Jardim Verônia
03573000,Rua Fortuna de Minas,Jardim Arize
04459120,Rua Miguel Nunes,Pedreira
02230040,Rua Baía de Santa Clara,Parque Edu Chaves
03389090,Rua Professor Jácomo Stavale,Vila Primavera
08290710,Rua Toritama,Vila Carmosina
02729010,Rua Doutor Elviro Carrilho,Vila Albertina
02471080,Rua Porto Amarante,Vila Basileia
05543040,Rua Walter Britto Belletti,Vila Albano
04136110,Rua Samambaia,Bosque da Saúde
04012000,Rua Pelotas,Vila Mariana
05525000,Rua Alfredo Mendes da Silva,Jardim Jussara
04627901,Avenida Washington Luís 5859,Santo Amaro
05795270,Avenida Ovídio Lopes Guimarães,Jardim Rosana
04962300,Rua Belém,Chácara Sonho Azul
02244040,Rua Capitão Sérvio Rodrigues Caldas,Vila Dom Pedro II
03180160,Rua Brodosqui,Vila Cláudia
