cep,logradouro,bairro
02465100,Avenida Imirim,Imirim
05525090,Avenida Doutor Ezequiel Campos Dias,Jardim Jussara
08431330,Rua Luís Cristofe,Jardim Guaianazes
04186040,Rua Francisco Medeiros,Vila Liviero
05601040,Praça Doutor João Adhemar de Almeida Prado,Jardim Everest
02561110,Rua Cecília Maierovitch,Vila Santa Maria
04076012,Alameda dos Guaramomis,Planalto Paulista
04962163,Rua São Bento,Vila do Sol
02513020,Rua João Rudge,Casa Verde
04752030,Rua Maria Maturano Batista,Santo Amaro
02758050,Rua Mineiros do Tietê,Vila Bancária Munhoz
05525080,Estrada do Jaguaré,Jardim Jussara
02151000,Praça dos Bombeiros,Jardim Guanca
01045900,Praça da República 76/80,República
03447140,Rua Rancharia,Vila Carrão
02135010,Rua André da Fonseca,Jardim Japão
04570001,Avenida Nova Independência,Brooklin Paulista
08111210,Rua Joaquim Inácio Cardoso,Jardim das Oliveiras
04309900,Avenida Engenheiro Armando de Arruda Pereira 1765,Jabaquara
08160370,Rua Rio do Ouro,Parque Industrial
02856100,Rua Antônio Susini,Jardim Princesa
04711904,Rua Arquiteto Olavo Redig de Campos 105,Vila São Francisco (Zona Sul)
05107001,Avenida dos Remédios,Vila Santa Edwiges
03735000,Rua Raimundo Mattiuzzo,Vila Araguaia
02712050,Rua Eulálio da Costa Carvalho,Jardim Pereira Leite
02566010,Rua Eduardo Luís Trindade,Vila Espanhola
04805100,Rua Nossa Senhora de Nazaré,Cidade Dutra
01155020,Rua Parintins,Barra Funda
04816000,Rua Armando Vieira,Jardim Quarto Centenário
08225000,Rua Catarina Lopes,Vila Regina ( Zona Leste)
04860060,Rua Pedro de Andrade Caminha,Jardim São Rafael
05118100,Avenida Marginal Direita do Tietê,Vila Jaguara
03963040,Rua Doutor Afonso Splendore,Cidade São Mateus
04461050,Rua José Martins Coelho,Vila Emir
08330430,Rua Nebulosas,Cidade Satélite Santa Bárbara
05568040,Rua Arnóbio,Jardim São Jorge (Raposo Tavares)
02406010,Rua Doutor Guilherme Cristofel,Santana
03422000,Avenida Guilherme Giorgi,Vila Carrão
05549300,Rua Gervásio Gonçalves,Jardim das Esmeraldas
04264120,Rua do Piquete,Vila Monumento
03184110,Rua Doutor Francisco Eugênio,Alto da Mooca
04514101,Rua Tuim,Vila Uberabinha
08225210,Rua Bento Ribeiro,Vila Regina ( Zona Leste)
04784240,Rua Pedro Frazão de Brito,Jardim Ipanema (Zona Sul)
04845230,Rua Rogério Fernandes,Jardim Reimberg
03311030,Rua Terebé,Tatuapé
03820180,Rua Lopez Merino,Vila Sílvia
09260410,Rua Evangelista de Souza,Jardim Santo Alberto
05626040,Rua Doutor Carvalho Aranha,Vila Sônia
08110420,Rua Matias João da Costa,Jardim Aimoré
05731410,Rua Miguel da Silva,Vila Plana
08042230,Rua Alcaravias,Cidade Nova São Miguel
04455110,Rua Pietro Lotti,Vila Campo Grande
02847060,Rua do Outono,Vila Itaberaba
05788280,Rua Vittório Emanuele Rossi,Jardim Bom Refúgio
01007020,Praça da Bandeira,Centro
04935090,Rua Doutor Luiz Fernando Ferreira,Jardim Dionisio
08220000,Rua Surucuás,Cidade Antônio Estevão de Carvalho
08235440,Rua Catalpa,Parque Guarani
05797220,Rua Antônio Pompeu de Camargo,Jardim Ipê
03101000,Avenida Alcântara Machado,Brás
05203400,Rua Augusto Valério do Sacramento,Vila Fanton
08140400,Rua Aracarana,Vila São José (Itaim Paulista)
02365010,Rua Kotinda,Jardim Corisco
04753200,Rua Nilo Placona,Santo Amaro
05102000,Rua Capitão-mor Aguiar Altero,Vila dos Remédios
02221000,Avenida Jardim Japão,Jardim Brasil (Zona Norte)
08320115,Rua Bruna Franchi,Parque São Rafael
01320030,Rua Lettiere,Bela Vista
04467130,Rua do Roseiral,Jardim Itapura
05657230,Rua Professor Alexandre Correia,Jardim Vitória Régia
02992040,Rua Ângelo Rojas,Parque Panamericano
02849080,Rua Cosme Damião da Cunha,Jardim Guarani
03158010,Rua Itiúba,Vila Celeste
03671030,Rua Santo Antônio do Aventureiro,Jardim Popular
03282013,Rua São Gotardo,Vila Santa Clara
05816140,Rua Alessandro Scarlatti,Jardim Santa Josefina
08410480,Rua Coronel Carlos Dourado,Vila Marilena
08240000,Travessa Forte Defensor,Jardim Norma
02634090,Rua Pimentel Brandão,Jardim Peri
03376060,Rua Gino,Chácara Belenzinho
02474020,Rua Assuero Roque,Vila Roque
05849410,Rua Manuel de Burgos,Jardim Germânia
04546001,Rua Casa do Ator,Vila Olímpia
04170030,Rua Girolamo Dai Libri,Vila Moraes
05274070,Rua Anaba,Jardim Rosinha
05862250,Rua Miguel Lopes,Jardim Lídia
01443060,Rua Desembargador Joaquim Celidônio,Jardim Paulistano
08343210,Travessa Lampião de Gás,Jardim da Conquista (Zona Leste)
08253500,Rua Gavião Pescador,Conjunto Residencial José Bonifácio
04429000,Rua O Estado de São Paulo,Americanópolis
03460010,Rua José Antônio Lagareiro,Jardim Vila Formosa
02151060,Rua Alfredo Abrantes,Jardim Guanca
05171300,Rua Elias Casseb,Jardim Santa Mônica
02809110,Rua Santa Clara de Assis,Sítio Morro Grande
02805130,Rua Augusto José Pereira,Jardim Maristela
03978650,Rua Alves de Torres,Jardim Adutora
04711110,Rua Luiz Ignácio Ferreira,Vila São Francisco (Zona Sul)
02352150,Rua Tereza Bortolo,Bortolândia
04090002,Alameda dos Nhambiquaras,Indianópolis
05787000,Estrada do Campo Limpo,Pirajussara
05403010,Rua Doutor Ovídio Pires de Campos,Cerqueira César
02324020,Rua Gregório Funes,Jardim Ataliba Leonel
04136070,Praça Ângela Fioreto,Bosque da Saúde
08215400,Rua São Francisco do Piauí,Itaquera
04815160,Avenida Jacinto Júlio,Jardim Satélite
05540000,Rua Martinho Claro,Conjunto Residencial Butantã
04384100,Praça Luigi Palma,Jardim Jabaquara
02318390,Rua Manoel Oliveira Gonçalves,Jardim Jaçanã
04650142,Rua José Neves,Vila São Paulo
01328000,Rua Conselheiro Carrão,Bela Vista
04089012,Alameda dos Maracatins,Indianópolis
04845280,Rua Elísia Gonçalves Barselos,Vila Brasília (Zona Sul)
08120080,Rua Serra dos Aimorés,Itaim Paulista
03821010,Rua Nova Palmeira,Vila Sílvia
05334090,Rua Francisco Ribeiro Carril,Jaguaré
08230760,Travessa Pirapora do Bom Jesus,Vila Verde
05207090,Rua Felipe Cardoso de Campos,Vila Caiúba
02833050,Rua Gusmão Lobo,Vila Nina
08285240,Rua Goianira,Cidade Líder
08230070,Rua Jataizinho,Vila Santana
05303060,Rua Gonçalves Freire,Vila Leopoldina
04870060,Rua do Terceiro Lago,Parque do Terceiro Lago
08441380,Rua Benedito Leite de Ávila,Jardim Aurora (Zona Leste)
04236130,Rua Itamarati Brasileiro,Cidade Nova Heliópolis
17533037,Avenida da Liberdade,Centro (Padre Nóbrega)
03659020,Rua Zélia Moreira Damante,Vila Granada
08010110,Rua Amadeu Gamberini,Vila Americana
04655060,Rua Maria Teresinha D'Abril,Jardim Alzira
81150000,Rua Mário Gomes Cézar,Pinheirinho
08230010,Rua Francisco Alarico Bérgamo,Vila Taquari
02616050,Rua Doutor Ivan Pinheiro,Vila Continental
03813100,Rua Capitão Américo Duarte,Jardim Belém
04789000,Avenida Mahatma Gandhi,Interlagos
02842210,Rua Manoel Moreira,Parque São Luís
03152230,Rua Rio Laranjais,Vila Prudente
04241030,Rua Luiz Pasquale Netto,São João Clímaco
03563300,Rua Dejanira,Jardim Santo Antônio
08225160,Rua Adelino,Vila Regina ( Zona Leste)
08081040,Rua Ascenso Fernandes,Parque Paulistano
02013006,Praça Tenente-Coronel Heleuses Nogueira,Santana
04320040,Rua Anita Costa,Cidade Vargas
05036100,Rua Carlos Spera,Água Branca
05734140,Rua João Simões de Souza,Parque Reboucas
03889000,Avenida Águia de Haia,Jardim Soraia
03321001,Rua Euclides Pacheco,Vila Gomes Cardim
03806000,Avenida Paranaguá,Ermelino Matarazzo
04552030,Rua Chilon,Vila Olímpia
13050612,Rua Nelson de Oliveira,Conjunto Residencial Souza Queiroz
05846170,Rua Benjamim Vill,Conjunto Promorar São Luis
02878030,Rua Matimpererê,Jardim Vista Alegre
04828070,Rua Doutor Carlos Pezzolo,Jardim Esmeralda (Zona Sul)
02209000,Avenida Gustavo Adolfo,Vila Gustavo
04462090,Rua William Lindsay,Jardim da Pedreira
03661030,Rua Coronel Estelita Ribas,Vila Ré
03209070,Rua Carovi,Vila Alpina
03033010,Rua Pasteur,Canindé
03637040,Rua Raul de Freitas,Penha de França
05850260,Rua Pedro Rodrigues Pereira,Jardim Capelinha
08191135,Rua Tapajônia,Jardim Margarida
05791170,Rua Justiniano Carranza,Jardim Mitsutani
01013915,Rua Quinze de Novembro 212,Centro
02737070,Rua Cândida Franco de Barros,Itaberaba
02075080,Rua Santo Anselmo,Vila Paiva
05050110,Rua Trajano,Lapa
05301100,Praça Nova Lapa,Parque da Lapa
02543003,Via de Pedestre Rosa Branca,Vila Celeste
02941000,Rua Antônio Fernandes Pinheiro,Jardim Cidade Pirituba
02442040,Rua Herison,Lauzane Paulista
04209020,Rua Toledo Júnior,Ipiranga
04840030,Rua Irene Lisboa,Conjunto Habitacional Brigadeiro Faria Lima
05813010,Rua João do Espírito Santo,Jardim São Luís
01414010,Rua Sarandi,Cerqueira César
03279160,Rua Curumataí,Vila Santa Virginia
08430530,Rua Miguel Soares de Leão,Jardim Etelvina
01548040,Rua Guinle,Vila Monumento
03527900,Avenida Aricanduva 5555,Jardim Santa Terezinha (Zona Leste)
04230010,Praça Barão de Belém,Cidade Nova Heliópolis
04298000,Avenida Deputado Rubens Granja,Vila Vermelha
05523090,Rua Doutor Manuel Bonilha,Ferreira
04849557,Rua Cantinho do Céu,Cantinho do Céu
03680010,Rua Aricá-Mirim,Burgo Paulista
04853183,Rua Luiz Otávio Martins,Jardim Noronha
01201040,Rua Pirineus,Campos Elíseos
02678060,Rua Várzea Grande,Jardim Peri
05267000,Estrada Coronel José Gladiador,Jardim Anhangüera
04321110,Rua dos Cajueiros,Vila Parque Jabaquara
01426001,Rua Oscar Freire,Cerqueira César
05133020,Rua Luís Gonçalves Bastos,Vila Mangalot
02336100,Rua Odete Carvalho Caielli,Água Fria
04646000,Rua Guilherme Asbahr Neto,Chácara Monte Alegre
03720040,Rua Ilha da Figueira,Vila Paulistania
02252120,Rua Doutor Castro Ramos,Vila Nivi
08011170,Rua Antônia Geres,Vila Pedroso
08140110,Rua Evaristo Martins Franco,Jardim Tuã
08161520,Praça Mãe Preta,Parque Santa Rita
04460030,Travessa Arnaldo Bragança,Vila Baby
04612001,Rua Baronesa de Bela Vista,Vila Congonhas
03287130,Rua Cleofas Beltran Silvente,Jardim Ana Rosa
04859070,Rua Missão dos Mares Verdes,Jardim Santa Fé (Zona Sul)
05407002,Rua Cardeal Arcoverde,Pinheiros
05127020,Rua Luís Elias Attie,Parque São Domingos
03715040,Rua Goita,Jardim de Lorenzo
04209050,Rua José Chimenti,Ipiranga
05265020,Rua Giovani Paladino,Jardim Jaraguá
04523010,Alameda Jauaperi,Moema
01303000,Rua Caio Prado,Consolação
01424002,Alameda Lorena,Jardim Paulista
05843340,Rua Lázaro Rodrigues,Jardim São Luís
08473030,Rua Reinado do Cavalo Marinho,Conjunto Habitacional Sitio Conceição
05791260,Rua Viariz,Jardim Mitsutani
02139020,Rua Francisco Franco Machado,Vila Sabrina
05735130,Rua Gil Simões da Costa,Parque Reboucas
02873190,Passagem Michel Raposo,Conjunto Promorar Estrada da Parada
04711130,Avenida Doutor Chucri Zaidan,Vila São Francisco (Zona Sul)
04550902,Rua Alvorada 859,Vila Olímpia
05087030,Praça Doutor Ézio Donati,Bela Aliança
04840660,Rua Populina,Conjunto Habitacional Brigadeiro Faria Lima
08071140,Rua Serra do Salitre,Jardim Lapena
08265060,Estrada da Fazenda do Carmo,Parque do Carmo
02856030,Rua Ada Bertelli Frasson,Jardim Princesa
02552140,Rua Gonçalves Figueira,Vila Bandeirantes
03680050,Rua Alto de Santo Antônio,Burgo Paulista
01218010,Alameda Eduardo Prado,Campos Elíseos
03713040,Rua Coperema,Jardim Jaú (Zona Leste)
02918050,Rua Doutora Maria Luísa Martines,Vila Pereira Cerca
02812000,Rua Padre Achilles Silvestre,Jardim Paulistano (Zona Norte)
03526000,Avenida Itaquera,Jardim Maringá
03376007,Praça Geraldo Mendes,Chácara Belenzinho
05540020,Rua Doutor Alfredo Di Vernieri,Conjunto Residencial Butantã
04342011,Avenida Pedro Bueno,Jabaquara
05083001,Rua Doutor Cintra Gordinho,Alto da Lapa
04836090,Rua Gabriel Pereira de Castro,Jardim Floresta
08122480,Rua Diogo de Gouveia Osório,Parque Santa Amélia
02728110,Rua Dalvo Matos Dedecca,Vila Palmeiras
02971000,Rua Adele Zarzur,Jardim São José (Zona Norte)
08411090,Rua Coutinho e Melo,Vila Aurea
05462070,Praça Ernani Braga,Alto de Pinheiros
03470150,Rua Dona Sara,Jardim Vila Formosa
03012000,Rua Conselheiro Belisário,Brás
05859110,Rua Manoel José Pereira,Capão Redondo
04256360,Rua Miguel Romano,São João Clímaco
01413000,Rua Augusta,Cerqueira César
03001005,Viaduto Maestro Alberto Marino,Brás
02991010,Rua Judite Leite Chaves Carvalho,Jardim Rincão
01139010,Rua José Gomes Falcão,Parque Industrial Tomas Edson
04515001,Avenida Sabiá,Indianópolis
03311060,Rua Fernando Dondon,Tatuapé
02729040,Rua Cajati,Vila Albertina
04121120,Rua José Cocciuffo,Vila Mariana
08121425,Rua Jacareana,Jardim Camargo Novo
04474340,Estrada do Alvarenga,Balneário São Francisco
04205001,Rua Cipriano Barata,Ipiranga
08430660,Rua Baltazar Barroso,Jardim Etelvina
03174080,Rua Francisco Gouveia,Quarta Parada
05051010,Rua Barra do Chapéu,Vila Romana
08042330,Rua Socorozeiro,Cidade Nova São Miguel
01328020,Rua Doutor Luís Barreto,Bela Vista
05630070,Rua Elizabeth Barbegian Baldinato,Vila Suzana
04002909,Rua Teixeira da Silva 660,Paraíso
08062015,Rua Manoel Rodrigues,Vila Monte Santo
03362050,Rua Aracê,Vila Formosa
04084080,Rua Macejana,Indianópolis
05027000,Rua Doutor Miranda de Azevedo,Vila Anglo Brasileira
04913170,Rua Manuel Dias Leme,Jardim Santa Edwiges (Capela do Socorro)
05038160,Rua Mateo Forte,Água Branca
03737040,Rua Marangone,Vila Buenos Aires
03881000,Rua Lucas Bati,Vila Ponte Rasa
04760020,Rua Alexandre Gusmão,Vila Socorro
02968050,Rua Meia Ponte,Vila Miriam
04404120,Rua Icaturama,Cidade Ademar
05594020,Rua Roberto Valentino de Camargo,Jardim Bonfiglioli
04853135,Estrada da Represa,Jardim Noronha
08381720,Rua Irma Leonie Duquet,Jardim Alto Alegre (São Rafael)
04012140,Rua Bagé,Vila Mariana
04286100,Rua Abrahão Calux,Vila Moinho Velho
04455130,Rua João Scatamacchia,Vila Campo Grande
03144070,Rua das Clemates,Vila Lúcia
05850140,Rua Canuto Luiz do Nascimento,Jardim Capelinha
05442000,Rua Pereira Leite,Sumarezinho
05780410,Rua Vitório,Vila Prel
04416310,Rua Heriberto Frias,Jardim Miriam
08410490,Rua Diaulas Parreira,Vila Santa Cruz (Zona Leste)
04926000,Praça Pristina,Riviera Paulista
01437040,Rua Bolívia,Jardim América
05477000,Avenida Doutora Ruth Cardoso,Jardim Universidade Pinheiros
03358010,Rua Tauandê,Vila Formosa
05775200,Avenida Leitão da Cunha,Parque Regina
02236170,Rua Águas de Xapecó,Jardim Modelo
04408030,Rua Santa Felícia,Americanópolis
08021300,Rua Maria Susano Polilo,Vila Rosaria
04181110,Rua Professor Almeida Porto,Jardim Maria Estela
04935010,Rua das Guitarras,Jardim Dionisio
02407070,Rua Helvídio Gouveia,Água Fria
02030000,Avenida Cruzeiro do Sul,Canindé
02701900,Avenida Otaviano Alves de Lima 2724,Jardim das Graças
08346530,Rua Agostiniana Chantal,Jardim Nova Conquista
03243070,Rua Tibaú do Sul,Cidade Continental
05622050,Rua Maestro Torquato Amore,Jardim Leonor
03259040,Rua Guarajuba,Jardim Cotiana
03423010,Praça Barão Homem de Melo,Vila Carrão
03279060,Rua Teotônio de Oliveira,Vila Santa Virginia
03059001,Rua Júlio de Castilhos,Belenzinho
08340050,Rua Maria Aparecida Custódio,Jardim Ricardo
02840130,Rua Comendador Cesar Alfieri,Parque São Luís
02632030,Rua Dolores Barreto Coelho,Jardim Peri
04816100,Praça Almirante Pena Botto,Jardim Satélite
02189070,Rua Soldado José Serafim,Parque Novo Mundo
04517100,Praça Paul Harris,Indianópolis
08011140,Rua João Honorato Pedroso,São Miguel Paulista
05171000,Avenida Santa Mônica,Jardim Santa Mônica
05344000,Rua Doutor Joel Lagos,Jaguaré
05537010,Rua Dona Layr Costa Rego,Jardim Peri Peri
08226010,Rua Monte Car,Cidade Antônio Estevão de Carvalho
01257000,Rua Doutor Paulo Vieira,Sumaré
04310000,Avenida Diederichsen,Vila Guarani (Z Sul)
08062270,Rua Tito Capinam,Jardim São Carlos (Zona Leste)
05409011,Rua Oscar Freire,Pinheiros
04284090,Travessa Euclydes Pinheiro,Vila Moinho Velho
01049010,Rua Quirino de Andrade,Centro
03335080,Rua Alonso Calhamares,Jardim Anália Franco
08270130,Rua Toreiros,Vila Carmosina
08475420,Rua Várzea Nova,Cidade Tiradentes
05307001,Rua Major Paladino,Vila Ribeiro de Barros
02652170,Rua Dom Aquino,Jardim Antártica
04116030,Rua Diderot,Jardim Vila Mariana
04347150,Rua Timboré,Jardim Oriental
04102020,Praça Arnaldo Boris Davidoff,Jardim Vila Mariana
04733300,Avenida Adolfo Pinheiro,Santo Amaro
02996235,Rua Moacir Santos,Parque Nações Unidas
03013020,Rua Matias de Oliveira,Brás
03448060,Rua Castro Teixeira,Vila Carrão
02835060,Rua Professor Algacir Munhoz Maeder,Vila Serralheiro
05101210,Avenida Cardeal Motta,City América
01536030,Rua Eulália Assunção,Cambuci
03020010,Rua Ivinheima,Catumbi
05607000,Avenida Morumbi,Morumbi
30860040,Rua Santa Maria,Conjunto Novo Dom Bosco
04893110,Estrada da Ligação,Parque Lagoa Rica
04369000,Rua Contos Gauchescos,Vila Santa Catarina
04363050,Rua Araquém,Vila Mascote
08275085,Rua Mateus Mendes Pereira,Jardim Nossa Senhora do Carmo
04880150,Rua Baltazarini,Recanto Campo Belo
05532040,Avenida Benjamim Mansur,Instituto de Previdência
02758080,Rua João Duarte,Vila Bancária Munhoz
02560150,Rua Baltasar Abadal,Vila Santista
05590000,Rua Pereira do Lago,Vila Gomes
04727050,Rua Campbell,Vila Cruzeiro
05025020,Rua Guiara,Vila Pompéia
04298090,Rua Bertolina Maria,Vila Vermelha
08330200,Rua Ilha do Cardoso,Vila Ester
03184080,Rua Barretos,Alto da Mooca
04570905,Rua Rosa Gaeta Lazara 93,Brooklin Paulista
05427001,Rua Fernão Dias,Pinheiros
01425010,Rua Caconde,Jardim Paulista
04373000,Rua Conselheiro Elias de Carvalho,Vila Santa Catarina
05121090,Rua Professor Sílvio de Sá e Silva,Parque São Domingos
01314030,Rua José Tenaglia,Bela Vista
04696220,Rua Luís Alves de Carvalho,Jurubatuba
05516050,Rua Oscar Pinheiro Coelho,Caxingui
02993070,Rua Lagoas de Camacho,Parque Panamericano
05068000,Rua Antônio Fidélis,Lapa de Baixo
05523070,Rua Cônego Assis Barros,Ferreira
04447011,Avenida Nossa Senhora do Sabará,Vila Emir
04343050,Rua Mennucci,Jabaquara
05777130,Rua Praia de Carreiros,Vila Nova das Belezas
04963300,Rua Capitão Lamarca,Chácara da Enseada
02539020,Rua Professor Zamenhof,Parque Peruche
03159061,Rua Emílio Burian,Vila Santa Clara
05053020,Rua Ajuricaba,Vila Romana
18730017,Rua Quinze de Novembro,Centro
01036100,Avenida São João,República
04846681,Rua Padre Leite,Jardim Ideal
02975030,Rua Domingos Pereda,Vila Zat
02331001,Avenida Nova Cantareira,Tucuruvi
02543180,Praça Santíssima Trindade,Vila Celeste
03207030,Rua Ilha Seca,Vila Alpina
04852223,Rua Teresa Farias Isassi,Jardim Lucélia
04619005,Rua Gabriele D'Annunzio,Campo Belo
02531011,Rua Ouro Grosso,Parque Peruche
08041360,Rua Olho D'Água,Vila Raquel
03150010,Rua Coelho Neto,Quinta da Paineira
04203060,Praça Altemar Dutra,Sacomã
03283080,Rua Curuaés,Vila Ema
04414220,Rua Marjorie,Vila Clara
01210003,Rua Vitória,Santa Efigênia
02417100,Rua Sílvio de Almeida Sampaio,Jardim Paraíso
05363170,Avenida Alberto de Faria Cardoso,Jardim Odete
04146050,Rua General Chagas Santos,Vila da Saúde
08022170,Rua Álvaro Ribeiro de Souza,Vila Barbosa
04368003,Rua Doutor Djalma Pinheiro Franco,Vila Santa Catarina
03045018,Rua Placidina,Brás
01507010,Rua Sinimbu,Liberdade
04231030,Rua Cônego Xavier,Cidade Nova Heliópolis
03351000,Rua Padre Maurício,Vila Diva (Zona Leste)
05563120,Rua Engenheiro Hugo Takahashi,Raposo Tavares
04117020,Rua Dona Júlia,Vila Mariana
04463080,Rua Joaquim do Lago,Balneário Mar Paulista
08226017,Rua Cinco,Cidade Antônio Estevão de Carvalho
02993160,Rua Pedro Roget,Jardim Vivan
08441460,Rua Rio Tibiquari,Jardim Guaianazes
03450010,Rua Cururipe,Parque Maria Luiza
04313020,Praça Vitor Godinho,Vila Guarani (Z Sul)
05352090,Rua Doutor Francisco Pati,Vila São Francisco
04051000,Rua das Hortênsias,Mirandópolis
04693030,Rua Professora Haidêe Silva Martins,Jardim Campo Grande
05892420,Rua Itapiocaba,Jardim Amália
02064050,Rua Amadeu,Vila Guilherme
08215580,Rua Rio Uruú,Itaquera
05679160,Rua Pedro Avancine,Jardim Panorama
02473030,Rua Teotônio Freire,Vila Roque
05661000,Rua Breno Pinheiro,Jardim Morumbi
05348000,Avenida Gonçalo Madeira,Jaguaré
01150010,Praça Marechal Deodoro,Santa Cecília
02211000,Rua Japi,Vila Ede
03975160,Praça João Garcia Gimenez,Jardim Sapopemba
03472090,Rua Cândido Rodrigues,Jardim Vila Formosa
04816090,Rua Raimundo Lopes,Jardim Satélite
05726130,Rua José da Silva Ribeiro,Vila Andrade
03381150,Rua Enésio Isqui,Vila Cruzeiro
08240300,Rua Amerício,Jardim Norma
08140005,Rua Alberto de Melo,Jardim Laura
03022080,Rua Batista Parente,Alto do Pari
08460480,Rua Camargo e Leme,Vila São Geraldo
08370030,Rua Diogo Garcia,Parque Boa Esperança
04569010,Rua Quintana,Cidade Monções
03308010,Rua Platina,Vila Azevedo
03630030,Rua João Caresia,Guaiaúna
50100040,Rua Álvares de Azevedo,Santo Amaro
08485495,Travessa São Tiago,Cidade Tiradentes
05360160,Rua Cipotânea,Vila Butantã
04369090,Rua Calasans,Vila Santa Catarina
02930110,Rua Henri Potiron,Vila Picinin
02276140,Rua Michel Ouchana,Jaçanã
02467050,Rua Joaquim Couto,Imirim
05364020,Rua Emília Paulista,Vila Tiradentes
04511060,Rua Coronel Artur de Paula Ferreira,Vila Nova Conceição
02430008,Rua Torre da Boa Viagem,Vila Nova Cachoeirinha
02226000,Rua Tenente Sotomano,Jardim Brasil (Zona Norte)
02132020,Rua Arisugawa,Jardim Japão
05880330,Avenida da Moenda Velha,Parque Independência
01508010,Rua Taguá,Liberdade
04863640,Rua Bernardino Fergioni,Jardim Arco-Iris
05818260,Rua Filipe de Veras,Jardim Vergueiro
03470160,Rua Antônio de Sousa Delmundo,Jardim Vila Formosa
05627010,Rua Joaquim Galvão,Vila Sônia
08050720,Rua Tamaquaré,Jardim das Camélias
05454030,Rua Cardeal Cagliori,Alto de Pinheiros
04743040,Rua João Schmidt,Santo Amaro
02307250,Rua Salvador Bicudo,Tucuruvi
08220770,Rua Itarumã,Jardim Itapemirim
04842240,Rua Torquato Tapajós,Parque Grajaú
04854410,Rua das Palmeiras,Jardim Azano I
08050495,Travessa do Anfiguri,Jardim das Camélias
04550080,Rua Cabo Verde,Vila Olímpia
02618011,Travessa José Prates,Vila Amália (Zona Norte)
05848040,Rua Doutor Sérgio Gonçalves Chaddad,Jardim Germânia
08250640,Rua Eugênio Albini,Conjunto Residencial José Bonifácio
08160505,Avenida Marechal Tito,Jardim Silva Teles
05527050,Rua Miguel Jurno,Jardim Celeste
03415100,Rua Palas,Jardim Textil
03732100,Rua Heitor Diniz Campello,Chácara Cruzeiro do Sul
04844320,Rua Marcantônio Cesti,Jardim São Bernardo
05653070,Praça Roberto Gomes Pedrosa,Jardim Leonor
03028050,Avenida Pedroso da Silveira,Pari
08421410,Rua Sylvio de Lima Gonçalves Pereira,Conjunto Habitacional Fazenda do Carmo
03195010,Rua Enta,Alto da Mooca
08190000,Rua Cordão de São Francisco,Vila Aimoré
02250020,Rua Afonso Oitavo,Vila Gustavo
05366020,Rua Gaspar Gomes,Jardim Ester
03944050,Rua Boa Família,Jardim Tietê
03694160,Rua Museu Real,Parque das Paineiras
13330020,Rua Padre Bento Pacheco,Centro
05885380,Rua Sidney André dos Santos,Jardim Comercial
05870040,Rua Antônio Zinny,Jardim São José
08060140,Rua João Felisberto Moreira,Vila Jacuí
05372060,Rua Maria Gonçalves Seleiros,Jardim Ester
05723400,Rua Manuel Homem de Andrade,Jardim Santo Antônio
05181040,Estrada Galvão Bueno Trigueirinho,Jaraguá
08062690,Rua Kukukaya,Jardim São Carlos (Zona Leste)
03358040,Rua Anjo Custódio,Vila Formosa
04545000,Rua das Fiandeiras,Vila Olímpia
03272060,Rua Tristão de Alencar Araripe Júnior,Vila União (Zona Leste)
03638030,Rua Maria Emília,Penha de França
02322030,Rua Visconde de Antunes Braga,Vila Dorna
02052090,Rua José Balta,Vila Guilherme
05307100,Rua Professor Olavo de Carvalho,Jardim Humaitá
04176190,Rua Alexandre Gantus,Jardim Vergueiro (Sacomã)
04570100,Praça Acibe Ballan Camasmie,Brooklin Paulista
03591000,Rua César Diaz,Conjunto Habitacional Padre Manoel de Paiva
02254010,Rua Caracaxá,Vila Nivi
02141040,Praça Lupércio Bassetto Morlatto,Vila Sabrina
03443015,Rua Tiúba,Vila Nova Manchester
04636001,Avenida Professor Vicente Ráo,Jardim Petrópolis
04855280,Rua General Renato Varandas de Azevedo,Jardim Três Corações
05061250,Rua Cerro Corá,Vila Romana
04890000,Rua Américo Coxa,Parelheiros
02882060,Rua Manuel Olímpio Calado,Jardim Centenário
03271030,Rua Nassioseno Gomes Barbosa,Vila Bela do Sapopemba
04463030,Rua Conceição da Boa Viagem,Balneário Mar Paulista
02112008,Rua José Reis Dias,Vila Maria Baixa
04133000,Avenida do Cursino,Saúde
08461190,Rua Álcio Carneiro de Lima,Cidade Popular
02127027,Travessa Polimestor,Vila Maria Alta
01140140,Praça Orlando Zanfelice Júnior,Várzea da Barra Funda
01506030,Viaduto Cidade de Osaka,Liberdade
05549070,Rua Vicente Quaresma,Jardim das Esmeraldas
03512000,Rua Dona Matilde,Vila Matilde
02839200,Rua Morpará,Jardim Maracanã
02925130,Rua João Alves,Freguesia do Ó
08420020,Rua Doutor Oliveira Arruda,Jardim Helena
05841180,Rua Manoel Capoto,Vila das Belezas
02990330,Rua Alexandre Orlov,Jardim Donária
05679070,Rua Jabá,Jardim Panorama
04382070,Rua Alto do Bonfim,Conjunto Residencial Jardim Canaã
05805030,Rua Guimarães Tavares,Jardim São Luís
02860000,Avenida Deputado Cantídio Sampaio,Vila Souza
05265040,Rua Francisco Bellazzi,Jardim Jaraguá
08011500,Rua Antônio Agostinho Martins,Vila São Silvestre (Zona Leste)
04053030,Rua Maquerobi,Saúde
04756180,Praça Bento França Cassaca,Santo Amaro
03150050,Praça Salim Lahud,Quinta da Paineira
01239020,Rua Itacolomi,Higienópolis
